3062 3257 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3061 3256 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3060 3256 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3059 3256 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
# Etceteria							
2611 3857 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2611 3858 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2611 3859 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2612 3860 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2613 3860 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2614 3860 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2615 3859 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2615 3858 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2615 3857 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2614 3856 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2613 3856 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2612 3856 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
# Brimhaven							
2800 3202 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2800 3203 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2800 3204 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2801 3205 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2802 3205 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2803 3205 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2804 3204 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2804 3203 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2804 3202 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2803 3201 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2802 3201 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
2801 3201 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
# Hosidius							
1691 3541 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1691 3542 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1691 3543 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1692 3544 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1693 3544 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1694 3544 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1695 3543 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1695 3542 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1695 3541 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1694 3540 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1693 3540 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
1692 3540 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
# Farming Guild							
1251 3749 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1251 3750 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1251 3751 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1252 3752 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1253 3752 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1254 3752 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1255 3751 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1255 3750 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1255 3749 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1254 3748 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1253 3748 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
1252 3748 0		Travel;Spirit Tree;33733		Tree Gnome Village;The Grand Tree		10
# Player-owned house							
#		Travel;Spirit Tree;29227
# Poison Waste
2337 3110 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2337 3111 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2337 3112 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2338 3113 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2339 3113 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2340 3113 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2341 3112 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2341 3111 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2341 3110 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2338 3109 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2339 3109 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
2340 3109 0		Travel;Spirit Tree;49595		The Path of Glouphrie		10	
# Laguna Aurorae
1201 2788 0		Travel;Spirit Tree;26262				10
1202 2788 0		Travel;Spirit Tree;26262				10
1201 2787 0		Travel;Spirit Tree;26262				10
1201 2786 0		Travel;Spirit Tree;26262				10
1204 2786 0		Travel;Spirit Tree;26262				10
1201 2785 0		Travel;Spirit Tree;26262				10
1202 2785 0		Travel;Spirit Tree;26262				10
1203 2785 0		Travel;Spirit Tree;26262				10
1204 2785 0		Travel;Spirit Tree;26262				10
# Tree Gnome Village
	2542 3170 0			Tree Gnome Village		10	1: Tree Gnome Village
# Gnome Stronghold							
	2461 3444 0			The Grand Tree		10	2: Gnome Stronghold
# Battlefield of Khazard							
	2555 3259 0			Tree Gnome Village;The Grand Tree		10	3: Battlefield of Khazard
# Grand Exchange							
	3185 3508 0			Tree Gnome Village;The Grand Tree		10	4: Grand Exchange
# Feldip Hills							
	2488 2850 0			Tree Gnome Village;The Grand Tree		10	5: Feldip Hills
# Prifddinas							
	3274 6123 0			Tree Gnome Village;The Grand Tree;Song of the Elves		10	6: Prifddinas
# Port Sarim							
	3058 3257 0			Tree Gnome Village;The Grand Tree		10	7: Port Sarim
# Etceteria							
	2613 3855 0			Tree Gnome Village;The Grand Tree		10	8: Etceteria
# Brimhaven							
	2800 3203 0			Tree Gnome Village;The Grand Tree		10	9: Brimhaven
# Hosidius							
	1693 3540 0			Tree Gnome Village;The Grand Tree		10	A: Hosidius
# Farming Guild							
	1251 3750 0			Tree Gnome Village;The Grand Tree		10	B: Farming Guild
# Player-owned house							
#				Tree Gnome Village;The Grand Tree		2	C: Your house
# Poison Waste							
	2339 3109 0			Tree Gnome Village;The Grand Tree;The Path of Glouphrie		10	D: Poison Waste
# Laguna Aurorae (Varlamore) - backfilled 2026-07-20 from upstream
	1202 2785 0			Pandemonium		10	E: Laguna Aurorae
